source,brand,processor,gpu,ram_gb,ram_type,storage_gb,storage_type,os,price
ds01,HP,13th Gen Intel Core i5 1340p,Intel Integrated Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,72990
ds01,Lenovo,11th Gen Intel Core i7 1165G7,Integrated Intel Iris Xe Graphics,16,DDR4,512,SSD,Windows 11,52101
ds01,Infinix,11th Gen Intel Core i3  1115G4,Intel Integrated UHD Graphics,8,LPDDR4X,512,SSD,Windows 11,28990
ds01,HP,12th Gen Intel Core i7 1255U,Intel Iris Xe,16,DDR4,512,SSD,Windows 11,69490
ds01,Acer,13th Gen Intel Core i3 1315U,Intel UHD Graphics,8,LPDDR5,512,SSD,Windows 11,39965
ds01,Acer,13th Gen Intel Core i5 1335U,4GB NVIDIA GeForce RTX 2050,16,DDR4,512,SSD,Windows 11,54990
ds01,Asus,12th Gen Intel Core i5 1235U,Intel Iris Xe,8,DDR4,512,SSD,Windows 11,46999
ds01,Asus,13th Gen Intel Core i5 13500H,Intel Integrated Iris Xe,16,LPDDR5,512,SSD,Windows 11,83990
ds01,HP,5th Gen AMD Ryzen 5  5600H ,4GB AMD Radeon RX 6500M Graphics,8,DDR4,512,SSD,Windows 11,51499
ds01,Dell,5th Gen AMD Ryzen 5 5625U,AMD Radeon Graphics,16,DDR4,512,SSD,Windows 11,50990
ds01,HP,Intel Celeron  N4500,Intel Integrated UHD Graphics,4,LPDDR4X,128,HDD,Chrome OS,23990
ds01,Acer,7th Gen AMD Ryzen 3 7320U,AMD Radeon Graphiics,8,LPDDR5,512,SSD,Windows 11,27990
ds01,HP,13th Gen Intel Core i5 1335U,Intel Integrated Iris Xe,16,DDR4,1024,SSD,Windows 11,79990
ds01,Samsung,13th Gen Intel Core i7 1355U,Intel Iris Xe Graphics,16,LPDDR4X,512,SSD,Windows 11,84390
ds01,Infinix,10th Gen Intel Core i3 1005G1,Intel Integrated UHD,8,LPDDR4X,256,SSD,Windows 11,24990
ds01,Samsung,13th Gen Intel Core i9 13900H,NVIDIA GeForce RTX 4070,32,LPDDR5,1024,SSD,Windows 11,281990
ds01,Lenovo,AMD Athlon 7120U,AMD Radeon 610M Graphics,8,LPDDR5,512,SSD,Windows 11,26590
ds01,Infinix,11th Gen Intel Core i5 1155G7,Intel Integrated Iris Xe,16,LPDDR4X,1024,SSD,Windows 11,37990
ds01,Asus,6th Gen AMD Ryzen 7 6800H,4GB NVIDIA GeForce RTX 3050,16,LPDDR5,512,SSD,Windows 11,71189
ds01,HP,7th Gen AMD Ryzen 7 7840HS,6GB NVIDIA GeForce RTX 3050,16,DDR5,512,SSD,Windows 11,85999
ds01,Lenovo,7th Gen AMD Ryzen 7 7735U,AMD Radeon Graphics,16,DDR5,1024,SSD,Windows 11,93990
ds01,Asus,12th Gen Intel Core i5 12500H,Intel Iris Xe Graphics,16,LPDDR5,512,SSD,Windows 11,84990
ds01,Dell,13th Gen Intel Core i3 1305U,Intel Integrated UHD,8,DDR4,1024,SSD,Windows 11,44190
ds01,Acer,13th Gen Intel Core i9 13900HX,8GB NVIDIA GeForce RTX 4060,16,DDR5,1024,SSD,Windows 11,159990
ds01,HP,5th Gen AMD Ryzen 5 5600H,4GB AMD Radeon RX 6500M Graphics,16,DDR4,512,SSD,Windows 11,52990
ds01,Acer,11th Gen Intel Core i5 1155G7,Intel Iris Xe Graphics,8,DDR4,512,SSD,Windows 11,39990
ds01,Dell,13th Gen Intel Core i5 1335U,Intel Iris Xe Graphics,16,LPDDR5,1024,SSD,Windows 11,73990
ds01,Lenovo,11th Gen Intel Core i5 11320H,4GB NVIDIA GTX 1650,16,DDR4,512,SSD,Windows 11,57500
ds01,Asus,5th Gen AMD Ryzen 5 5600HS,4GB NVIDIA GeForce RTX 2050,8,DDR4,512,SSD,Windows 11,59990
ds01,Acer,12th Gen Intel Core i5 12450H,4GB NVIDIA GeForce GTX 1650,16,DDR4,512,SSD,Windows 11,53990
ds01,Asus,11th Gen Intel Core i3 1115G4,Intel Integrated Intel UHD,8,DDR4,512,SSD,Windows 11,33990
ds01,Dell,13th Gen Intel Core i5 1340P,Intel Iris Xe Graphics,16,LPDDR5,512,SSD,Windows 11,75990
